order_id,user_id,quantity,payment_id,product_id
1035,7,3,2,1244793001
1522,7,2,3,1240734001
4100,4,2,1,1239698010
1391,2,9,3,983240048
1460,7,10,2,1212806001
2279,9,6,4,1162165010
3074,5,5,2,1232201002
884,2,9,1,1074402014
798,6,9,4,1170373007
1673,5,6,2,1241915001
2635,7,5,4,656677068
4842,9,4,1,516859020
2672,7,2,2,1232125003
1407,5,8,1,1237322003
959,10,10,3,1248926002
3423,8,10,3,1143405001
1826,10,9,3,1250500001
1601,4,2,1,1243100003
2074,7,1,3,1158565001
4840,1,5,2,1115511010
2119,9,10,1,1221913001
3066,9,2,2,1242090001
237,2,4,1,1133068007
3453,4,10,4,1214196001
3935,10,6,3,1201712003
2107,10,7,2,889828076
1952,5,2,4,972640085
4320,8,6,4,1221005003
2207,1,3,1,1157799011
3418,7,2,2,1254557002
3503,10,10,4,985159001
2084,3,8,2,1259505001
2256,8,9,2,1240276001
206,2,3,2,1246803004
4854,7,1,1,1226432002
4920,6,3,4,1123621010
1667,1,5,3,1043492002
2649,9,9,4,1210941002
3274,6,1,1,1219771003
580,3,7,4,1199190003
3454,7,2,2,1229020001
2782,3,8,2,1233862007
1419,8,5,2,1240099004
883,8,2,1,975845083
1306,4,4,2,1236364004
2461,7,9,2,1247609001
2680,10,8,3,1236200002
645,9,4,3,1247123001
1818,1,8,3,1217052001
2509,4,3,4,1209691006
2339,4,4,2,1158129013
3537,8,1,1,1241799002
3763,5,10,2,1158561018
2215,7,8,2,1158561001
4903,3,2,4,1221370001
2894,8,9,2,1246428002
1863,6,2,4,1218544010
3642,2,9,2,1250175005
3045,8,7,3,1246818001
4719,1,8,4,1241797005
463,9,10,4,713986080
159,9,4,1,1014123021
3494,10,8,3,1225485008
845,1,7,4,1240892003
2532,3,6,3,1259011001
2528,6,2,4,1166837002
4357,2,1,4,1170373007
2620,5,2,3,1227582001
4462,5,2,1,1217083001
1152,4,5,1,1143405027
4021,4,5,2,1256476001
1574,1,1,1,1243657003
1156,10,1,3,1165160004
2571,3,2,2,1106189001
3277,9,8,3,1214440003
2630,8,9,2,1225144002
4841,3,3,1,1232418001
130,2,7,1,871889066
3012,2,7,2,1224175002
713,10,9,4,1223297001
3731,7,6,1,1185135006
1056,9,7,3,1115511011
847,1,6,3,1210135001
4696,4,7,3,1026091055
59,3,9,1,1219672002
4134,7,7,1,1234683001
2558,10,3,1,1241667006
3207,9,10,4,1082853044
4065,4,10,4,1078657001
442,1,2,2,1238254002
401,10,9,1,1239899005
1253,5,2,2,1238251006
3936,7,7,3,1231783006
102,8,2,1,1224449008
631,1,10,2,1198931001
826,7,2,2,1244958001
2174,10,6,3,1255569001
3777,5,2,1,1257114003
1705,8,3,2,970819001
4571,2,4,1,1026351001
3699,4,3,1,1249218001
2573,1,6,1,811993077
3029,10,8,3,1227727061
4497,4,5,4,1128496008
776,1,8,4,1216961004
1660,10,4,2,1243139001
13,7,2,2,1228222001
3043,8,4,4,1239705003
1971,5,5,3,1241003003
2552,6,6,1,1249512002
4541,4,5,1,871889066
47,5,6,2,1254599001
852,10,10,4,877769049
1263,2,5,3,1231066001
2594,8,10,4,685816255
741,3,9,2,1243048005
3310,8,3,4,1241002001
1094,4,8,3,1141812001
505,7,10,2,1236623001
3084,4,2,2,1228206003
4797,10,8,4,1036648028
1224,2,2,2,1241338002
3282,10,9,3,795243030
729,1,1,2,1219719022
656,2,8,3,1238951003
3686,9,6,3,1241753001
4222,7,10,4,1128985007
2382,7,2,3,1244250002
2161,6,1,1,1243891002
3972,2,9,4,970819092
3211,10,7,3,889828068
458,6,7,1,1238363002
