product_id,name,department,clothing,type_of_clothing,price,color
685816002,áo thun regular fit,man,shirt,shortsleeve,14900,"màu đen (#272628), màu trắng (#ffffff), màu xám đậm (#5c595b), màu xanh kaki (#45503e)"
685816255,áo thun regular fit,man,shirt,shortsleeve,14900,"màu xanh dương (#767f99), màu trắng (#ffffff), màu đen (#272628), màu xám đậm (#5c595b)"
1013956003,áo sơ mi oxford regular fit,man,shirt,longsleeved,49900,"màu xanh dương nhạt (#a9b7d8), màu trắng (#ffffff), màu be (#a39c8b), màu xanh tím than (#2b2c32)"
956343001,áo polo slim fit,man,shirt,polo,29900,"màu đen (#272628), màu trắng (#ffffff), màu xanh tím than (#23263b), màu xanh kaki đậm (#45503e)"
685816247,áo thun regular fit,man,shirt,shortsleeve,14900,"màu nâu đậm (#3f3838), màu trắng (#ffffff), màu đen (#272628), màu xám đậm (#5c595b)"
1013956048,áo sơ mi oxford regular fit,man,shirt,longsleeved,49900,"màu đen (#272628), màu trắng (#ffffff), màu xanh dương nhạt (#a9b7d8), màu be (#a39c8b)"
685816001,áo thun regular fit,man,shirt,shortsleeve,14900,"màu trắng (#ffffff), màu đen (#272628), màu xám đậm (#5c595b), màu xanh kaki (#45503e)"
1074402014,quần dài cotton dệt chéo slim fit,man,trousers,,49900,"màu be nhạt (#b5afa0), màu đen (#272628), màu xanh tím than (#393a45), màu xám đậm (#383a3d)"
608945107,áo thun loose fit,man,shirt,shortsleeve,29900,"màu xanh tím than (#23263b), màu trắng (#ffffff), màu đen (#272628), màu xanh lá đậm (#384440)"
1029317001,áo jersey regular fit,man,shirt,longsleeve,29900,"màu đen (#272628), màu trắng (#ffffff), màu xanh dương nhạt (#858c94), màu be xám nhạt (#e4e2dc)"
570002001,áo thun slim fit,man,shirt,shortsleeve,19900,"màu đen (#272628), màu trắng (#ffffff), màu xanh lá rừng (#384440), màu đỏ rượu (#5b313d)"
1074406030,quần dài slim fit,man,trousers,dressed,69900,"màu xám (#6c6d6e), màu đen (#272628), màu xám nhạt/kẻ ca rô (#898d8b), màu đen/kẻ ca rô (#272628)"
1074406001,quần dài slim fit,man,trousers,dressed,69900,"màu đen (#272628), màu xám nhạt/kẻ ca rô (#898d8b), màu đen/kẻ ca rô (#272628), màu xám/kẻ ca rô (#272628)"
1101074001,áo thun cotton pima slim fit,man,shirt,shortsleeve,37900,"màu trắng (#ffffff), màu đen (#272628), màu xanh tím than (#2b2c32), màu xám nhạt đốm (#afafaf)"
811993040,regular jeans,man,trousers,regular,99900,"màu đen (#2e2e30), màu xanh denim nhạt (#8898ac), màu xanh denim (#5f6475), màu xanh denim (#b1bed7)"
1029317002,áo jersey regular fit,man,shirt,longsleeve,29900,"màu trắng (#ffffff), màu đen (#272628), màu xanh dương nhạt (#858c94), màu be xám nhạt (#e4e2dc)"
570002002,áo thun slim fit,man,shirt,shortsleeve,19900,"màu trắng (#ffffff), màu đen (#272628), màu xanh lá rừng (#384440), màu đỏ rượu (#5b313d)"
875105036,relaxed jeans,man,trousers,relaxed,1099000,màu xanh denim nhạt (#adbad1)
1013956057,áo sơ mi oxford regular fit,man,shirt,longsleeved,49900,"màu xanh kaki đậm (#5d5950), màu trắng (#ffffff), màu xanh dương nhạt (#a9b7d8), màu be (#a39c8b)"
1074402002,quần dài cotton dệt chéo slim fit,man,trousers,,49900,"màu xanh tím than (#393a45), màu đen (#272628), màu xám đậm (#383a3d), màu be nhạt (#b5afa0)"
1224295014,quần short nỉ regular fit,man,shorts,casual,29900,"màu xanh lá (#828c6e), màu xanh dương nhạt (#96add4)"
1238287001,áo sơ mi cổ hai ve vân nổi regular fit,man,shirt,casual,69900,"màu xanh lá đậm/kẻ (#7c775f), màu xanh tím than (#1a2840), màu nâu đậm (#3f3838)"
1074658001,áo thun oversized fit,man,shirt,shortsleeve,29900,"màu đen (#303033), màu xanh kaki (#45503e), màu be (#c0bbad)"
972640085,áo thun loose fit,man,shirt,printed,39900,"màu đen/outkast (#272628), màu trắng/kodak (#ffffff), màu trắng/snoopy (#f4f3e9)"
956343061,áo polo slim fit,man,shirt,polo,29900,"màu xanh kaki đậm (#45503e), màu đen (#272628), màu trắng (#ffffff), màu xanh tím than (#23263b)"
1035207029,áo thun cotton oversized fit,man,shirt,shortsleeve,37900,màu đen (#272628)
1034065137,áo thun in hình loose fit,man,shirt,printed,39900,"màu đen/fortuna (#272628), màu trắng/meadow flowers (#f4f3e9), màu trắng/less is more (#ffffff), đen/keep your friends close (#272628)"
1032522116,áo thun in hình loose fit,man,shirt,printed,24900,"màu trắng/bloomcraft (#f4f3e9), màu trắng/glow (#ffffff), màu xanh hạt dẻ cười/be kind (#999c85), màu be nhạt (#ded8c5)"
1074402001,quần dài cotton dệt chéo slim fit,man,trousers,,49900,"màu đen (#272628), màu xanh tím than (#393a45), màu xám đậm (#383a3d), màu be nhạt (#b5afa0)"
1227155001,áo ba lỗ gân nổi slim fit,man,shirt,tanks,19900,màu trắng (#ffffff)
1242812007,áo sơ mi chống nhăn slim fit,man,shirt,dressed,49900,"màu xám đậm (#4f5155), màu đen (#272628), màu xanh tím than (#2b2c32), màu xanh dương nhạt (#afbfdf)"
1002227011,quần jogger túi hộp slim fit,man,trousers,cargo,69900,"màu be (#a39b86), màu đen (#272628), màu xanh kaki (#545349), màu xám đậm (#54575b)"
1157660002,quần jogger loose cargo denim,man,trousers,loose,99900,"màu đen (#35393a), màu xanh denim nhạt (#8898ac), màu xám denim nhạt (#9c9ea5)"
1176809008,quần dài dệt chéo slim fit,man,trousers,dressed,89900,"màu be (#b5afa0), màu đen (#272628), màu trắng (#f0efec)"
1238273001,áo sơ mi oxford ngắn tay loose fit,man,shirt,shortsleeved,49900,"màu be nhạt (#d4d0c8), màu đen (#272628), màu xanh dương nhạt (#a9b7d8), màu trắng (#ffffff)"
1002227001,quần jogger túi hộp slim fit,man,trousers,cargo,69900,"màu đen (#272628), màu xanh kaki (#545349), màu xám đậm (#54575b), màu be (#a39b86)"
1238273004,áo sơ mi oxford ngắn tay loose fit,man,shirt,shortsleeved,49900,"màu trắng (#ffffff), màu be nhạt (#d4d0c8), màu đen (#272628), màu xanh dương nhạt (#a9b7d8)"
1008549030,straight regular jeans,man,trousers,regular,62900,"màu xanh denim nhạt (#c8d0db), màu xanh denim đậm (#4c5164), màu đen (#2e2e30), màu đen vintage (#494a4f)"
1024256001,slim jeans,man,trousers,slim,69900,"màu đen (#272628), màu xanh denim đậm (#4c5164), màu xanh denim lợt (#c8d0db), màu xanh denim đậm (#68759a)"
1232125001,quần tây regular fit,man,blazerssuits,trousers,79900,"màu đen (#272628), màu xám đậm (#383a3d), màu xanh tím than (#2b2c32), màu xám đậm/kẻ nhỏ (#3a3a3d)"
1129534001,quần dài linen pha regular fit,man,trousers,linentrousers,79900,màu trắng đốm (#efefdf)
714026044,quần tây slim fit,man,blazerssuits,trousers,89900,"màu đen (#272628), màu xám đậm đốm (#62615e), màu xanh tím than (#2b2c32), màu be xám (#7c746b)"
970818096,áo nỉ loose fit,man,jacket,sweatshirt,39900,"màu kem (#f4f3e9), màu xám nhạt đốm (#afafaf), màu be nhạt (#c0bbad), màu xanh dương đậm (#23263b)"
1024256014,slim jeans,man,trousers,slim,69900,"màu xanh denim đậm (#68759a), màu đen (#272628), màu xanh denim đậm (#4c5164), màu xanh denim lợt (#c8d0db)"
1241257002,áo sơ mi jersey vân nổi regular fit,man,shirt,polo,49900,màu trắng (#eeede4)
1034065146,áo thun in hình loose fit,man,shirt,printed,39900,"màu be xám/imagine (#5c595b), màu trắng/meadow flowers (#f4f3e9), màu trắng/less is more (#ffffff), đen/keep your friends close (#272628)"
608945111,áo thun loose fit,man,shirt,shortsleeve,29900,"màu be nhạt (#c0bbad), màu trắng (#ffffff), màu đen (#272628), màu xanh lá đậm (#384440)"
1013956002,áo sơ mi oxford regular fit,man,shirt,longsleeved,49900,"màu trắng (#ffffff), màu xanh dương nhạt (#a9b7d8), màu be (#a39c8b), màu xanh tím than (#2b2c32)"
1243933002,áo sơ mi chống nhăn regular fit,man,shirt,dressed,49900,"màu đen (#272628), màu trắng (#ffffff), màu xanh tím than (#2b2c32)"
1013956056,áo sơ mi oxford regular fit,man,shirt,longsleeved,49900,"màu xanh dương nhạt/kẻ trắng (#4060a4), màu trắng (#ffffff), màu xanh dương nhạt (#a9b7d8), màu be (#a39c8b)"
1008549005,straight regular jeans,man,trousers,regular,62900,"màu xanh denim đậm (#4c5164), màu đen (#2e2e30), màu đen vintage (#494a4f), màu xanh denim nhạt (#c8d0db)"
1170373001,quần jogger túi hộp vải nylon slim fit,man,trousers,cargo,69900,"màu đen (#272628), màu xám đậm (#383a3d), màu be (#b5afa0)"
1034065138,áo thun in hình loose fit,man,shirt,printed,39900,"màu trắng/hoài niệm (#ffffff), màu trắng/meadow flowers (#f4f3e9), màu trắng/less is more (#ffffff), đen/keep your friends close (#272628)"
1140854008,áo thun vải lưới in hình oversized fit,man,shirt,printed,44900,"màu đen/la (#272628), màu trắng/la (#f1f0e2)"
811993065,regular jeans,man,trousers,regular,99900,"màu xanh denim nhạt (#8898ac), màu đen (#2e2e30), màu xanh denim (#5f6475), màu xanh denim (#b1bed7)"
1238203001,áo thun in hình loose fit,man,shirt,printed,37900,màu đen/interested (#272628)
